input_item_type,input_item_category,input_number_to_generate,output_item_name,output_item_rating,output_item_num_reviews
toys,Hobbies,10,Churchill Mk.VII British Infantry Tank - 1:35 Scale Military - Tamiya,5.0 out of 5 stars,15
toys,Hobbies,10,"Ultra-pro, Black Pro binder 360 sleeve side loading, Mtg, Yugioh, WoW",4.9 out of 5 stars,13
toys,Hobbies,10,GoolRC T10 Mini Micro Drone 2.4G 4CH 6-Axis Gyro RC Quadcopter UFO with 3D Flips CF Mode Auto-return-Orange,4.9 out of 5 stars,27
toys,Hobbies,10,Transformers Grimlock Track Set,4.9 out of 5 stars,14
toys,Hobbies,10,"Orcrist 36"" Prop Replica The Hobbit The Noble Collection",4.9 out of 5 stars,19
toys,Hobbies,10,LEGO Ninjago 70504: Garmatron,4.9 out of 5 stars,40
toys,Hobbies,10,Branching Out City of London Wooden Train Set,4.9 out of 5 stars,14
toys,Hobbies,10,LEGO Galaxy Squad 70708: Hive Crawler,4.9 out of 5 stars,15
toys,Hobbies,10,Military Minatures German Hanomag Sd.kfz. 251/1 - 1:35 Scale Military - Tamiya,4.9 out of 5 stars,27
toys,Hobbies,10,Hornby 2014 Catalogue,4.9 out of 5 stars,15
